"id","chemical_name","chemical_id","protein_name","protein_id","protein_class","relation_name","relation_type","relation_id","activity_type","activity_value","activity_source","activity_source_link","action_type"
634,nefazodone,CHEBI:7494,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,IUPHAR,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7247,INHIBITOR
635,nelfinavir,CHEBI:7496,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
636,nicardipine,CHEBI:7550,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,WOMBAT-PK,"",""
637,nifedipine,CHEBI:7565,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
638,nifedipine and diuretics,CHEBI:7565,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
639,"nifedipine, combinations",CHEBI:7565,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
640,nimodipine,CHEBI:7575,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,WOMBAT-PK,"",""
641,phenelzine,CHEBI:8060,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
642,pyrazinamide,CHEBI:45285,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,WOMBAT-PK,"",""
643,"rifampicin, pyrazinamide and isoniazid",CHEBI:45285,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,WOMBAT-PK,"",""
644,"rifampicin, pyrazinamide, ethambutol and isoniazid",CHEBI:45285,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,WOMBAT-PK,"",""
645,"dasabuvir, ombitasvir, paritaprevir and ritonavir",CHEBI:45409,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,WOMBAT-PK,"",""
646,lopinavir and ritonavir,CHEBI:45409,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,WOMBAT-PK,"",""
647,"ombitasvir, paritaprevir and ritonavir",CHEBI:45409,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,WOMBAT-PK,"",""
648,ritonavir,CHEBI:45409,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,WOMBAT-PK,"",""
649,saquinavir,CHEBI:63621,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
650,sirolimus,CHEBI:9168,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
651,sulconazole,CHEBI:9325,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
652,tacrolimus,CHEBI:61049,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
653,topotecan,CHEBI:63632,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
654,trandolapril and verapamil,CHEBI:9948,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,IUPHAR,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2406,INHIBITOR
655,verapamil,CHEBI:9948,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,IUPHAR,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2406,INHIBITOR
656,"verapamil, combinations",CHEBI:9948,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,IUPHAR,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2406,INHIBITOR
657,vinorelbine,CHEBI:480999,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
658,voriconazole,CHEBI:10023,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL638,""
659,warfarin,CHEBI:10033,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,3,WOMBAT-PK,"",""
660,zafirlukast,CHEBI:10100,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
661,oxiconazole,CHEBI:7825,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
662,abiraterone,CHEBI:68639,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL254328,""
663,cefapirin,CHEBI:3545,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
664,ethambutol,CHEBI:4877,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
665,ethambutol and isoniazid,CHEBI:4877,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
666,"rifampicin, pyrazinamide, ethambutol and isoniazid",CHEBI:4877,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
667,ethambutol and isoniazid,CHEBI:6030,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
668,isoniazid,CHEBI:6030,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
669,"isoniazid, combinations",CHEBI:6030,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
670,rifampicin and isoniazid,CHEBI:6030,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
671,"rifampicin, pyrazinamide and isoniazid",CHEBI:6030,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
672,"rifampicin, pyrazinamide, ethambutol and isoniazid",CHEBI:6030,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
673,streptomycin and isoniazid,CHEBI:6030,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
674,thioacetazone and isoniazid,CHEBI:6030,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
675,pyrazinamide,CHEBI:45285,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
676,"rifampicin, pyrazinamide and isoniazid",CHEBI:45285,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
677,"rifampicin, pyrazinamide, ethambutol and isoniazid",CHEBI:45285,Cytochrome P450 3A5,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
678,ketoconazole,CHEBI:47519,Cytochrome P450 51,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,7,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL295698,""
679,ketoconazole,CHEBI:47519,Cytochrome P450 7A1,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL295698,""
680,atazanavir,CHEBI:37924,UDP-glucuronosyltransferase 1-1,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
681,atazanavir and cobicistat,CHEBI:37924,UDP-glucuronosyltransferase 1-1,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
682,diclofenac,CHEBI:47381,UDP-glucuronosyltransferase 1-1,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
683,diclofenac and antiinfectives,CHEBI:47381,UDP-glucuronosyltransferase 1-1,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
684,"diclofenac, combinations",CHEBI:47381,UDP-glucuronosyltransferase 1-1,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
685,diclofenac,CHEBI:47381,UDP-glucuronosyltransferase 1-10,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
686,diclofenac and antiinfectives,CHEBI:47381,UDP-glucuronosyltransferase 1-10,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
687,"diclofenac, combinations",CHEBI:47381,UDP-glucuronosyltransferase 1-10,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
688,diclofenac,CHEBI:47381,UDP-glucuronosyltransferase 1-6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
689,diclofenac and antiinfectives,CHEBI:47381,UDP-glucuronosyltransferase 1-6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
690,"diclofenac, combinations",CHEBI:47381,UDP-glucuronosyltransferase 1-6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
691,troglitazone,CHEBI:9753,UDP-glucuronosyltransferase 1-6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL408,""
692,diclofenac,CHEBI:47381,UDP-glucuronosyltransferase 1-7,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
693,diclofenac and antiinfectives,CHEBI:47381,UDP-glucuronosyltransferase 1-7,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
694,"diclofenac, combinations",CHEBI:47381,UDP-glucuronosyltransferase 1-7,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
695,probenecid,CHEBI:8426,UDP-glucuronosyltransferase 1-7,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL897,""
696,diclofenac,CHEBI:47381,UDP-glucuronosyltransferase 1-9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
697,diclofenac and antiinfectives,CHEBI:47381,UDP-glucuronosyltransferase 1-9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
698,"diclofenac, combinations",CHEBI:47381,UDP-glucuronosyltransferase 1-9,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139,""
704,abiraterone,CHEBI:68639,"Cytochrome P450 11B1, mitochondrial",,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL254328,""
705,etomidate,CHEBI:4910,"Cytochrome P450 11B2, mitochondrial",,Enzyme,inhibits,inhibits,RO_0002449,IC50,10,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL681,""
706,ketoconazole,CHEBI:47519,"Cytochrome P450 11B2, mitochondrial",,Enzyme,inhibits,inhibits,RO_0002449,IC50,7,SCIENTIFIC LITERATURE,http://www.ncbi.nlm.nih.gov/pubmed/18672868,INHIBITOR
707,letrozole,CHEBI:6413,"Cytochrome P450 11B2, mitochondrial",,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1444,""
708,metyrapone,CHEBI:44241,"Cytochrome P450 11B2, mitochondrial",,Enzyme,inhibits,inhibits,RO_0002449,IC50,7,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL934,""
763,alfuzosin and finasteride,CHEBI:5062,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
709,abiraterone,CHEBI:68639,"Cytochrome P450 11B2, mitochondrial",,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL254328,""
710,ketoconazole,CHEBI:47519,Cytochrome P450 17A1,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL295698,""
711,abiraterone,CHEBI:68639,Cytochrome P450 17A1,,Enzyme,inhibits,inhibits,RO_0002449,IC50,7,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL254328,""
712,methoxsalen,CHEBI:18358,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,7,DRUG MATRIX,"",""
713,alosetron,CHEBI:253342,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
714,altretamine,CHEBI:24564,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
715,atazanavir,CHEBI:37924,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,Ki,4,WOMBAT-PK,"",""
716,atazanavir and cobicistat,CHEBI:37924,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,Ki,4,WOMBAT-PK,"",""
717,disulfiram,CHEBI:4659,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
718,"disulfiram, combinations",CHEBI:4659,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
719,econazole,CHEBI:4754,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
720,flutamide,CHEBI:5132,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,Ki,5,WOMBAT-PK,"",""
721,fluvoxamine,CHEBI:5138,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,Ki,5,WOMBAT-PK,"",""
722,hexachlorophene,CHEBI:5693,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
724,modafinil,CHEBI:31859,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,Ki,4,WOMBAT-PK,"",""
725,nabumetone,CHEBI:7443,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
726,atenolol and nifedipine,CHEBI:7565,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
727,nifedipine,CHEBI:7565,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
728,nifedipine and diuretics,CHEBI:7565,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
729,"nifedipine, combinations",CHEBI:7565,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
730,nisoldipine,CHEBI:7577,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
731,omeprazole,CHEBI:7772,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,4,WOMBAT-PK,"",""
732,"omeprazole, amoxicillin and clarithromycin",CHEBI:7772,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,4,WOMBAT-PK,"",""
733,"omeprazole, amoxicillin and metronidazole",CHEBI:7772,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,4,WOMBAT-PK,"",""
734,paroxetine,CHEBI:7936,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,4,WOMBAT-PK,"",""
735,pefloxacin,CHEBI:50199,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,Ki,4,WOMBAT-PK,"",""
736,primaquine,CHEBI:8405,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
737,prochlorperazine,CHEBI:8435,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
738,propafenone,CHEBI:63619,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
739,propranolol,CHEBI:8499,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
740,propranolol and other combinations,CHEBI:8499,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
741,propranolol and thiazides,CHEBI:8499,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
742,sulconazole,CHEBI:9325,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
743,tiabendazole,CHEBI:45979,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
744,thioridazine,CHEBI:9566,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
745,capsaicin,CHEBI:3374,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
746,artemisinin,CHEBI:223316,Cytochrome P450 1A2,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
747,ketoconazole,CHEBI:47519,Cytochrome P450 21,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL295698,""
748,ketoconazole,CHEBI:47519,Cytochrome P450 24A1,,Enzyme,inhibits,inhibits,RO_0002449,IC50,4,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL295698,""
749,nicotine,CHEBI:17688,Cytochrome P450 2A6,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,WOMBAT-PK,"",""
750,ticlopidine,CHEBI:9588,Cytochrome P450 2A6,,Enzyme,inhibits,inhibits,RO_0002449,Ki,6,WOMBAT-PK,"",""
751,tranylcypromine,CHEBI:9652,Cytochrome P450 2A6,,Enzyme,inhibits,inhibits,RO_0002449,Ki,7,WOMBAT-PK,"",""
752,clopidogrel,CHEBI:37941,Cytochrome P450 2B6,,Enzyme,inhibits,inhibits,RO_0002449,Ki,6,WOMBAT-PK,"",""
753,ticlopidine,CHEBI:9588,Cytochrome P450 2B6,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,IUPHAR,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7307,INHIBITOR
754,bicalutamide,CHEBI:3090,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL409,""
755,bortezomib,CHEBI:52717,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,Ki,4,WOMBAT-PK,"",""
756,bupropion,CHEBI:3219,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
757,bupropion and naltrexone,CHEBI:3219,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
758,clemastine,CHEBI:3738,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
759,"clemastine, combinations",CHEBI:3738,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
760,clotrimazole,CHEBI:3764,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,7,DRUG MATRIX,"",""
761,econazole,CHEBI:4754,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,7,DRUG MATRIX,"",""
762,ethylestrenol,CHEBI:31578,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
764,finasteride,CHEBI:5062,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
765,"azithromycin, fluconazole and secnidazole",CHEBI:46081,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL106,""
766,fluconazole,CHEBI:46081,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL106,""
767,fluorescein,CHEBI:31624,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
768,"fluorescein, combinations",CHEBI:31624,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
769,hexachlorophene,CHEBI:5693,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
770,idebenone,CHEBI:31687,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
771,lacidipine,CHEBI:135737,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
772,lansoprazole,CHEBI:6375,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
773,"lansoprazole, amoxicillin and clarithromycin",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
774,"lansoprazole, amoxicillin and levofloxacin",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
775,"lansoprazole, amoxicillin and metronidazole",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
776,"lansoprazole, clarithromycin and tinidazole",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
777,"lansoprazole, combinations",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
778,"lansoprazole, tetracycline and metronidazole",CHEBI:6375,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
779,loratadine,CHEBI:6538,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,7,DRUG MATRIX,"",""
780,medroxyprogesterone,CHEBI:6715,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
781,medroxyprogesterone and estrogen,CHEBI:6715,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
782,medroxyprogesterone and ethinylestradiol,CHEBI:6715,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
783,miconazole,CHEBI:6923,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,7,DRUG MATRIX,"",""
784,"miconazole, combinations",CHEBI:6923,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,7,DRUG MATRIX,"",""
785,nimodipine,CHEBI:7575,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
786,enalapril and nitrendipine,CHEBI:7582,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
787,nitrendipine,CHEBI:7582,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
788,nortriptyline,CHEBI:7640,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
789,omeprazole,CHEBI:7772,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,Ki,5,WOMBAT-PK,"",""
790,"omeprazole, amoxicillin and clarithromycin",CHEBI:7772,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,Ki,5,WOMBAT-PK,"",""
791,"omeprazole, amoxicillin and metronidazole",CHEBI:7772,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,Ki,5,WOMBAT-PK,"",""
792,oxybutynin,CHEBI:7856,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
793,phenelzine,CHEBI:8060,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
794,sertraline,CHEBI:9123,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,6,DRUG MATRIX,"",""
795,sirolimus,CHEBI:9168,Cytochrome P450 2C19,,Enzyme,inhibits,inhibits,RO_0002449,IC50,5,DRUG MATRIX,"",""
